title,area,link,location,follow,totalPrice,unitPrice
碧桂园天玺湾 看湖景 全新精装新 含花园,进港大道,https://gz.lianjia.com/ershoufang/108400323222.html, | 2室2厅 | 79.68平米 | 西北 | 精装 | 有电梯,1人关注 / 共4次带看 / 1个月以前发布,190,单价23846元/平米
逸涛雅苑 59.2方精装两房 首付40万,进港大道,https://gz.lianjia.com/ershoufang/108400323231.html, | 2室1厅 | 59.2平米 | 西 | 精装,20人关注 / 共1次带看 / 1个月以前发布,125,单价21115元/平米
南沙碧桂园翠畔轩 2室2厅 160万,金洲,https://gz.lianjia.com/ershoufang/108400338660.html, | 2室2厅 | 77.79平米 | 北 | 精装 | 无电梯,6人关注 / 共0次带看 / 1个月以前发布,160,单价20569元/平米
滨海珺城 温馨两房 小两口二人世界,滨海花园,https://gz.lianjia.com/ershoufang/108400338679.html, | 2室2厅 | 75平米 | 北 | 精装 | 有电梯,10人关注 / 共3次带看 / 1个月以前发布,190,单价25334元/平米
碧桂园天玺湾 精装大两房165万可谈 业主急售 方便看,进港大道,https://gz.lianjia.com/ershoufang/108400342881.html, | 2室2厅 | 68.32平米 | 南 西 | 精装 | 有电梯,10人关注 / 共4次带看 / 1个月以前发布,158,单价23127元/平米
此房房产证过二税费低，视野开阔,进港大道,https://gz.lianjia.com/ershoufang/108400345187.html, | 2室2厅 | 76.88平米 | 东南 | 精装 | 有电梯,1人关注 / 共0次带看 / 1个月以前发布,175,单价22763元/平米
广晟海韵兰庭 2室2厅 180万,进港大道,https://gz.lianjia.com/ershoufang/108400345975.html, | 2室2厅 | 81平米 | 东南 | 精装 | 有电梯,3人关注 / 共0次带看 / 1个月以前发布,180,单价22223元/平米
小两房，价格跟户型都适合刚需的小家庭,滨海花园,https://gz.lianjia.com/ershoufang/108400351173.html, | 2室2厅 | 76.21平米 | 北 | 精装 | 有电梯,6人关注 / 共0次带看 / 1个月以前发布,188,单价24669元/平米
碧桂园天玺湾 2室2厅 178万,进港大道,https://gz.lianjia.com/ershoufang/108400351583.html, | 2室2厅 | 72.96平米 | 北 | 精装 | 有电梯,0人关注 / 共5次带看 / 1个月以前发布,178,单价24397元/平米
优山悦海 2室1厅 195万,南沙港,https://gz.lianjia.com/ershoufang/108400354513.html, | 2室1厅 | 79.86平米 | 南 | 精装 | 有电梯,12人关注 / 共0次带看 / 1个月以前发布,195,单价24418元/平米
碧桂园天玺湾 2室2厅 185万,进港大道,https://gz.lianjia.com/ershoufang/108400369093.html, | 2室2厅 | 76.88平米 | 北 | 精装 | 有电梯,0人关注 / 共0次带看 / 1个月以前发布,185,单价24064元/平米
滨海珺城 精装两居室 保养好 适合刚需,滨海花园,https://gz.lianjia.com/ershoufang/108400376600.html, | 2室2厅 | 76.21平米 | 北 | 精装 | 有电梯,14人关注 / 共0次带看 / 1个月以前发布,186,单价24407元/平米
阳光城丽景湾 2室2厅 158万,进港大道,https://gz.lianjia.com/ershoufang/108400421701.html, | 2室2厅 | 83.36平米 | 东北 | 精装 | 有电梯,5人关注 / 共0次带看 / 9天以前发布,158,单价18954元/平米
凯德新玥 复式公寓 精装三房 望小区园景,榄核镇,https://gz.lianjia.com/ershoufang/108400071465.html, | 3室1厅 | 59.8平米 | 东 | 精装 | 有电梯,283人关注 / 共0次带看 / 7个月以前发布,70,单价11706元/平米
龙光棕榈水岸南区 2室2厅 155万,南沙区府,https://gz.lianjia.com/ershoufang/108400267104.html, | 2室2厅 | 57平米 | 北 | 精装 | 有电梯,27人关注 / 共5次带看 / 2个月以前发布,155,单价27193元/平米
万科南方公元 3室2厅 170万,黄阁,https://gz.lianjia.com/ershoufang/108400306431.html, | 3室2厅 | 88平米 | 南 北 | 精装,21人关注 / 共0次带看 / 2个月以前发布,170,单价19319元/平米
紫茗花园 2室2厅 135万,进港大道,https://gz.lianjia.com/ershoufang/108400358111.html, | 2室2厅 | 75.11平米 | 西南 | 毛坯 | 有电梯,22人关注 / 共5次带看 / 1个月以前发布,135,单价17974元/平米
奥园金莎广场 1室0厅 65万,金洲,https://gz.lianjia.com/ershoufang/108400414083.html, | 1室0厅 | 47.86平米 | 东南 | 精装 | 有电梯,0人关注 / 共0次带看 / 13天以前发布,65,单价13582元/平米
敏捷君御国际  精装修未住过，保养好，看方便,金洲,https://gz.lianjia.com/ershoufang/108400017179.html, | 1室0厅 | 78.17平米 | 东 | 精装 | 有电梯,26人关注 / 共0次带看 / 9个月以前发布,80,单价10235元/平米
华汇国际广场 业主诚心出售  近进港大道,进港大道,https://gz.lianjia.com/ershoufang/108400167995.html, | 1室0厅 | 55.09平米 | 南 | 简装 | 有电梯,20人关注 / 共0次带看 / 5个月以前发布,60,单价10892元/平米
奥园金莎广场 1室0厅 63万,金洲,https://gz.lianjia.com/ershoufang/108400169122.html, | 1室0厅 | 55.47平米 | 北 | 简装 | 有电梯,18人关注 / 共0次带看 / 5个月以前发布,63,单价11358元/平米
南沙万达广场 1室1厅 92万,金洲,https://gz.lianjia.com/ershoufang/108400198506.html, | 1室1厅 | 66.11平米 | 东南 | 精装 | 有电梯,1人关注 / 共0次带看 / 4个月以前发布,92,单价13917元/平米
精装修双层公寓出售100万刚需户型,金洲,https://gz.lianjia.com/ershoufang/108400208301.html, | 1室1厅 | 51.36平米 | 北 | 精装 | 有电梯,16人关注 / 共0次带看 / 4个月以前发布,100,单价19471元/平米
南沙万达广场 1室1厅 70万,金洲,https://gz.lianjia.com/ershoufang/108400305103.html, | 1室1厅 | 38.57平米 | 北 | 精装 | 有电梯,6人关注 / 共0次带看 / 2个月以前发布,70,单价18149元/平米
敏捷君御国际 业主诚心出售 高楼层采光好,金洲,https://gz.lianjia.com/ershoufang/108400314720.html, | 1室0厅 | 53平米 | 南 | 毛坯 | 有电梯,9人关注 / 共0次带看 / 2个月以前发布,58,单价10944元/平米
创鸿嘉园 2室1厅 65万,金洲,https://gz.lianjia.com/ershoufang/108400323127.html, | 2室1厅 | 50.89平米 | 西北 | 毛坯 | 有电梯,34人关注 / 共1次带看 / 1个月以前发布,65,单价12773元/平米
敏捷君御国际 1室0厅 45万,金洲,https://gz.lianjia.com/ershoufang/108400348833.html, | 1室0厅 | 36.41平米 | 南 | 精装 | 有电梯,6人关注 / 共0次带看 / 1个月以前发布,45,单价12360元/平米
南沙敏捷君御国际 金洲市场边 可以个人购买,金洲,https://gz.lianjia.com/ershoufang/108400370540.html, | 1室1厅 | 75.01平米 | 南 | 简装 | 有电梯,0人关注 / 共0次带看 / 1个月以前发布,98,单价13065元/平米
敏捷君御国际 1室0厅 55万,金洲,https://gz.lianjia.com/ershoufang/108400378976.html, | 1室0厅 | 53平米 | 南 | 毛坯 | 有电梯,5人关注 / 共0次带看 / 31天以前发布,55,单价10378元/平米
海棠花园(南沙) 3室2厅 160万,进港大道,https://gz.lianjia.com/ershoufang/108400414342.html, | 3室2厅 | 115平米 | 北 | 精装 | 有电梯,5人关注 / 共0次带看 / 12天以前发布,160,单价13914元/平米
明珠花园(南沙区) 3室2厅 155万,金洲,https://gz.lianjia.com/ershoufang/108400417027.html, | 3室2厅 | 121.7平米 | 西南 | 精装 | 有电梯,5人关注 / 共0次带看 / 11天以前发布,155,单价12737元/平米
名苑别墅 2室1厅 105万,东涌,https://gz.lianjia.com/ershoufang/108400420155.html, | 2室1厅 | 57.1平米 | 南 | 简装,12人关注 / 共0次带看 / 9天以前发布,105,单价18389元/平米
金洲裕兴花园 楼梯底楼层 南北对流 生活配套完善,进港大道,https://gz.lianjia.com/ershoufang/108400323245.html, | 3室2厅 | 135.95平米 | 南 | 简装 | 无电梯,9人关注 / 共0次带看 / 1个月以前发布,150,单价11034元/平米
电梯中层 小区中间位置 户型方正,榄核镇,https://gz.lianjia.com/ershoufang/108400068974.html, | 3室2厅 | 97.1平米 | 南 | 简装 | 无电梯,58人关注 / 共5次带看 / 7个月以前发布,138,单价14213元/平米
海力花园满五唯一   中楼层南向大阳台婚房,进港大道,https://gz.lianjia.com/ershoufang/108400315762.html, | 2室2厅 | 79.48平米 | 南 | 精装,67人关注 / 共7次带看 / 2个月以前发布,153,单价19251元/平米
美福花园 3室2厅 145万,金洲,https://gz.lianjia.com/ershoufang/108400423558.html, | 3室2厅 | 100.95平米 | 南 | 简装 | 有电梯,9人关注 / 共0次带看 / 8天以前发布,145,单价14364元/平米
金洲成熟社区 3室2厅低价出售,进港大道,https://gz.lianjia.com/ershoufang/108400147183.html, | 3室2厅 | 99平米 | 南 | 精装 | 无电梯,188人关注 / 共2次带看 / 5个月以前发布,178,单价17980元/平米
南沙明珠花园 精装三房 南向望园林 配套齐全,金洲,https://gz.lianjia.com/ershoufang/108400205750.html, | 3室2厅 | 122平米 | 东南 | 精装 | 有电梯,1人关注 / 共0次带看 / 4个月以前发布,170,单价13935元/平米
南沙玫瑰花园 3室2厅 160万,南沙旧镇,https://gz.lianjia.com/ershoufang/108400233819.html, | 3室2厅 | 109平米 | 南 | 精装,11人关注 / 共0次带看 / 3个月以前发布,160,单价14679元/平米
明珠花园(南沙区) 3室2厅 165万,金洲,https://gz.lianjia.com/ershoufang/108400265424.html, | 3室2厅 | 126.2平米 | 北 | 简装 | 有电梯,28人关注 / 共0次带看 / 2个月以前发布,165,单价13075元/平米
南沙境界家园 3室2厅 195万,黄阁,https://gz.lianjia.com/ershoufang/108400310691.html, | 3室2厅 | 104.04平米 | 南 北 | 简装 | 有电梯,20人关注 / 共1次带看 / 2个月以前发布,195,单价18743元/平米
南沙海棠花园 房产证满五 房屋保养干净,进港大道,https://gz.lianjia.com/ershoufang/108400323121.html, | 3室2厅 | 86.37平米 | 西南 | 精装 | 有电梯,23人关注 / 共0次带看 / 1个月以前发布,145,单价16789元/平米
丰庭花园3室出售 交易透明 欢迎随时看房,金洲,https://gz.lianjia.com/ershoufang/108400336883.html, | 3室2厅 | 94.06平米 | 东北 | 精装 | 有电梯,50人关注 / 共4次带看 / 1个月以前发布,195,单价20732元/平米
逸涛雅苑 3室1厅 135万,进港大道,https://gz.lianjia.com/ershoufang/108400341050.html, | 3室1厅 | 72.59平米 | 南 东北 | 简装,5人关注 / 共0次带看 / 1个月以前发布,135,单价18598元/平米
海棠花园 三房 房产证满五年 高楼层,进港大道,https://gz.lianjia.com/ershoufang/108400348163.html, | 3室2厅 | 115.48平米 | 南 | 精装 | 有电梯,12人关注 / 共0次带看 / 1个月以前发布,170,单价14722元/平米
户型方正， 精装修，保养好，通风，采光好,金洲,https://gz.lianjia.com/ershoufang/108400366428.html, | 3室2厅 | 126.14平米 | 东南 | 精装 | 有电梯,24人关注 / 共1次带看 / 1个月以前发布,160,单价12685元/平米
美福花园 大三房套房 中间楼层,金洲,https://gz.lianjia.com/ershoufang/108400378463.html, | 3室2厅 | 116平米 | 西 | 精装 | 有电梯,15人关注 / 共0次带看 / 31天以前发布,168.2,单价14500元/平米
翡翠蓝湾东南向2房，一个决策，一辈子寄托,大岗镇,https://gz.lianjia.com/ershoufang/108400394544.html, | 2室1厅 | 78.8平米 | 东南 | 简装,3人关注 / 共4次带看 / 23天以前发布,123,单价15610元/平米
自贸区 榄核镇 教师村小区 大院管理,榄核镇,https://gz.lianjia.com/ershoufang/108400394784.html, | 3室2厅 | 120平米 | 东南 | 简装,26人关注 / 共2次带看 / 23天以前发布,90,单价7500元/平米
南沙境界小复式，2房2厅，南北对流，带平台，位置靓,黄阁,https://gz.lianjia.com/ershoufang/108400408095.html, | 2室2厅 | 64.78平米 | 南 北 | 精装 | 有电梯,26人关注 / 共2次带看 / 16天以前发布,138,单价21303元/平米
明珠花园(南沙区) 3室2厅 170万,金洲,https://gz.lianjia.com/ershoufang/108400422616.html, | 3室2厅 | 121.3平米 | 南 西 | 精装 | 有电梯,0人关注 / 共0次带看 / 8天以前发布,170,单价14015元/平米
阳光城丽景湾 两房 高层无遮挡 总价150万,进港大道,https://gz.lianjia.com/ershoufang/108400432452.html, | 2室2厅 | 85平米 | 北 | 精装 | 有电梯,7人关注 / 共0次带看 / 3天以前发布,150,单价17648元/平米
复式精装南向实用率高，不看后悔,金洲,https://gz.lianjia.com/ershoufang/108400163024.html, | 3室2厅 | 70.63平米 | 南 | 精装 | 有电梯,287人关注 / 共11次带看 / 5个月以前发布,105,单价14867元/平米
丰庭花园 2室2厅 168万,金洲,https://gz.lianjia.com/ershoufang/108400233410.html, | 2室2厅 | 83.33平米 | 南 | 精装 | 有电梯,14人关注 / 共5次带看 / 3个月以前发布,168,单价20161元/平米
阳光城香缇溪岸 2室1厅 160万,进港大道,https://gz.lianjia.com/ershoufang/108400386854.html, | 2室1厅 | 81.12平米 | 南 | 毛坯 | 有电梯,3人关注 / 共1次带看 / 27天以前发布,160,单价19724元/平米
优山美墅 3室2厅 180万,南沙港,https://gz.lianjia.com/ershoufang/108400146233.html, | 3室2厅 | 104平米 | 北 东北 | 毛坯 | 有电梯,26人关注 / 共2次带看 / 5个月以前发布,180,单价17308元/平米
中大城 2室1厅 182万,金洲,https://gz.lianjia.com/ershoufang/108400195800.html, | 2室1厅 | 78平米 | 南 | 简装,160人关注 / 共26次带看 / 4个月以前发布,182,单价23334元/平米
曾经的梦想，如今的好房，值得拥有,大岗镇,https://gz.lianjia.com/ershoufang/108400394638.html, | 3室1厅 | 106.81平米 | 东南 | 精装,3人关注 / 共1次带看 / 23天以前发布,148,单价13857元/平米
翡翠蓝湾 电梯三房 毛坯无改 朝南通北,大岗镇,https://gz.lianjia.com/ershoufang/108400206537.html, | 3室2厅 | 102.71平米 | 南 | 毛坯 | 有电梯,21人关注 / 共1次带看 / 4个月以前发布,150,单价14605元/平米
金茂湾 2室2厅 110万,南沙区府,https://gz.lianjia.com/ershoufang/108400307277.html, | 2室2厅 | 53.22平米 | 西 | 精装 | 有电梯,69人关注 / 共4次带看 / 2个月以前发布,110,单价20669元/平米
创鸿嘉园 3室2厅 105万,金洲,https://gz.lianjia.com/ershoufang/108400342399.html, | 3室2厅 | 70.63平米 | 南 | 简装 | 有电梯,11人关注 / 共1次带看 / 1个月以前发布,105,单价14867元/平米
中海联南沙国贸中心 2室2厅 120万,金洲,https://gz.lianjia.com/ershoufang/108400351267.html, | 2室2厅 | 58.32平米 | 北 | 精装 | 有电梯,23人关注 / 共2次带看 / 1个月以前发布,120,单价20577元/平米
凯德新玥 复式公寓 精装修 望小区园景,榄核镇,https://gz.lianjia.com/ershoufang/108400113437.html, | 1室1厅 | 47平米 | 东 | 精装 | 有电梯,108人关注 / 共0次带看 / 6个月以前发布,52,单价11064元/平米
大岗翡翠蓝湾，精装修，南向望河。,大岗镇,https://gz.lianjia.com/ershoufang/108400044079.html, | 3室1厅 | 101平米 | 东南 | 精装 | 有电梯,8人关注 / 共0次带看 / 8个月以前发布,170,单价16832元/平米
凯德新玥 3室2厅 140万,榄核镇,https://gz.lianjia.com/ershoufang/108400373709.html, | 3室2厅 | 88平米 | 南 | 毛坯 | 有电梯,0人关注 / 共3次带看 / 1个月以前发布,140,单价15910元/平米
优山美墅 2室2厅 163万,南沙港,https://gz.lianjia.com/ershoufang/108400383317.html, | 2室2厅 | 79.83平米 | 西 北 | 精装 | 有电梯,5人关注 / 共1次带看 / 29天以前发布,163,单价20419元/平米
全新精装三房带主套 南向望花园 带车位出售,榄核镇,https://gz.lianjia.com/ershoufang/108400385452.html, | 3室2厅 | 93平米 | 南 北 | 精装,2人关注 / 共1次带看 / 28天以前发布,185,单价19893元/平米
凯德新玥 三房两厅 采光好 配套齐全,榄核镇,https://gz.lianjia.com/ershoufang/108400393766.html, | 3室2厅 | 88平米 | 南 北 | 毛坯 | 有电梯,1人关注 / 共0次带看 / 24天以前发布,160,单价18182元/平米
翡翠蓝湾3房，开心，舒心，安心,大岗镇,https://gz.lianjia.com/ershoufang/108400396410.html, | 3室2厅 | 97.61平米 | 南 | 毛坯 | 有电梯,2人关注 / 共0次带看 / 23天以前发布,140,单价14343元/平米
万科南方公元 2室1厅 155万,黄阁,https://gz.lianjia.com/ershoufang/108400397025.html, | 2室1厅 | 71.7平米 | 北 | 精装,2人关注 / 共2次带看 / 22天以前发布,155,单价21618元/平米
大岗双晖轩小区，紧凑型2房，居住/婚房都合适,大岗镇,https://gz.lianjia.com/ershoufang/108400397976.html, | 2室1厅 | 64.03平米 | 东南 | 简装,7人关注 / 共1次带看 / 22天以前发布,110,单价17180元/平米
配套完善，大岗绿庭雅苑，三房精装修,大岗镇,https://gz.lianjia.com/ershoufang/108400406133.html, | 3室2厅 | 149.02平米 | 南 | 精装,3人关注 / 共1次带看 / 17天以前发布,180,单价12079元/平米
万地雅涛隔    电梯东南向精装大三房   交通便利,万顷沙,https://gz.lianjia.com/ershoufang/108400116220.html, | 3室2厅 | 108平米 | 东南 | 精装,58人关注 / 共1次带看 / 6个月以前发布,168,单价15556元/平米
凯德新玥 一房一厅户型,榄核镇,https://gz.lianjia.com/ershoufang/108200016590.html, | 1室1厅 | 48平米 | 西 | 毛坯 | 有电梯,67人关注 / 共0次带看 / 一年前发布,46,单价9584元/平米
南沙万达广场 1室1厅 85万,金洲,https://gz.lianjia.com/ershoufang/108400398405.html, | 1室1厅 | 53.21平米 | 南 | 精装 | 有电梯,0人关注 / 共0次带看 / 22天以前发布,85,单价15975元/平米
南沙万达广场 2室1厅 85万,金洲,https://gz.lianjia.com/ershoufang/108400398410.html, | 2室1厅 | 53.32平米 | 南 | 精装 | 有电梯,3人关注 / 共0次带看 / 21天以前发布,85,单价15942元/平米
南沙万达广场 1室1厅 81万,金洲,https://gz.lianjia.com/ershoufang/108400398411.html, | 1室1厅 | 63.8平米 | 南 | 精装 | 有电梯,3人关注 / 共0次带看 / 21天以前发布,81,单价12696元/平米
南沙万达广场 1室1厅 75万,金洲,https://gz.lianjia.com/ershoufang/108400398422.html, | 1室1厅 | 55.8平米 | 北 | 精装 | 有电梯,0人关注 / 共0次带看 / 21天以前发布,75,单价13441元/平米
敏捷君御国际 1室0厅 95万,金洲,https://gz.lianjia.com/ershoufang/108400403399.html, | 1室0厅 | 72.55平米 | 西 | 精装 | 有电梯,0人关注 / 共0次带看 / 19天以前发布,95,单价13095元/平米
南沙万达广场 1室1厅 85万,金洲,https://gz.lianjia.com/ershoufang/108400406228.html, | 1室1厅 | 53平米 | 南 | 精装 | 有电梯,1人关注 / 共0次带看 / 17天以前发布,85,单价16038元/平米
南沙万达广场 1室1厅 85万,金洲,https://gz.lianjia.com/ershoufang/108400406254.html, | 1室1厅 | 53平米 | 南 | 精装 | 有电梯,2人关注 / 共0次带看 / 17天以前发布,85,单价16038元/平米
南沙城 1室1厅 50万,金洲,https://gz.lianjia.com/ershoufang/108400123057.html, | 1室1厅 | 43.51平米 | 南 | 精装 | 有电梯,4人关注 / 共0次带看 / 6个月以前发布,50,单价11492元/平米
敏捷君御国际 业主诚心出售 采光好 看房方便,金洲,https://gz.lianjia.com/ershoufang/108400336671.html, | 1室0厅 | 73平米 | 西南 | 毛坯 | 有电梯,0人关注 / 共0次带看 / 1个月以前发布,82,单价11233元/平米
方正三房，阳台望远景，出入方便,黄阁,https://gz.lianjia.com/ershoufang/108400110660.html, | 3室2厅 | 93.74平米 | 南 | 简装,43人关注 / 共0次带看 / 6个月以前发布,190,单价20269元/平米
实用双层小三房150万，刚需客户型,南沙区府,https://gz.lianjia.com/ershoufang/108400189554.html, | 3室2厅 | 55.31平米 | 北 | 精装 | 有电梯,215人关注 / 共4次带看 / 4个月以前发布,150,单价27120元/平米
南沙心意华庭 3室2厅 154万,金洲,https://gz.lianjia.com/ershoufang/108400337500.html, | 3室2厅 | 81.27平米 | 南 | 精装,131人关注 / 共26次带看 / 1个月以前发布,154,单价18950元/平米
中盈一海里 2室2厅 130万,环市大道西,https://gz.lianjia.com/ershoufang/108400214144.html, | 2室2厅 | 77.89平米 | 南 | 其他 | 有电梯,71人关注 / 共3次带看 / 4个月以前发布,130,单价16691元/平米
南沙境界 南沙区府盘 婚房好选择 中间楼层 证过2年,黄阁,https://gz.lianjia.com/ershoufang/108400189552.html, | 2室2厅 | 75.2平米 | 东北 | 精装 | 有电梯,153人关注 / 共2次带看 / 4个月以前发布,150,单价19947元/平米
南沙湾区物业，超大小区，经典4房，居家必选户型,大岗镇,https://gz.lianjia.com/ershoufang/108400394531.html, | 3室1厅 | 100.75平米 | 东南 | 精装 | 有电梯,0人关注 / 共0次带看 / 23天以前发布,165,单价16378元/平米
紫茗花园 2室2厅 162万,进港大道,https://gz.lianjia.com/ershoufang/108400119486.html, | 2室2厅 | 83.96平米 | 南 | 精装 | 有电梯,42人关注 / 共0次带看 / 6个月以前发布,162,单价19295元/平米
富力英伦风山景大盘，小面积低总价通透两房,南沙港,https://gz.lianjia.com/ershoufang/108400160670.html, | 2室2厅 | 82.36平米 | 北 | 精装,1人关注 / 共0次带看 / 5个月以前发布,175,单价21249元/平米
中大城 2室1厅 190万,金洲,https://gz.lianjia.com/ershoufang/108400168602.html, | 2室1厅 | 78.27平米 | 南 | 精装,39人关注 / 共2次带看 / 5个月以前发布,190,单价24275元/平米
塞纳河畔 中层纯南向 两房 看蕉门河,进港大道,https://gz.lianjia.com/ershoufang/108400217255.html, | 2室2厅 | 81.12平米 | 南 北 | 毛坯 | 有电梯,6人关注 / 共0次带看 / 4个月以前发布,180,单价22190元/平米
